"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","model_type","seed","accuracy","best_epoch","best_val_loss","epoch","loss","lr","val_accuracy","val_loss","wrong_class"
"vgg-3","finished","-","hudwahab","","2023-02-22T23:52:49.000Z","871","","128","vgg","3","0.999239981174469","110","0.003961555659770966","112","0.0018351278267800808","3.000000248221113e-8","0.9983999729156494","0.003963066264986992","6"
"vgg-2","finished","-","hudwahab","","2023-02-22T23:41:14.000Z","693","","128","vgg","2","0.999239981174469","71","0.005726012401282787","90","0.001965376548469066","3.000000248221113e-8","0.9968000054359436","0.00575104309245944","9"
"vgg-1","finished","-","hudwahab","","2023-02-22T23:30:41.000Z","631","","128","vgg","1","0.9994400143623352","54","0.006335972808301449","79","0.0015145287616178391","3.000000106112566e-7","0.996399998664856","0.007467667572200298","10"
"vgg-0","finished","-","hudwahab","","2023-02-22T23:19:07.000Z","692","","128","vgg","0","0.9993199706077576","62","0.0056207869201898575","87","0.0017869409639388325","3.000000106112566e-7","0.9972000122070312","0.00644926680251956","13"
"cnn6-4","finished","-","hudwahab","","2023-02-22T22:29:32.000Z","2974","","128","cnn6","4","0.9981200098991394","69","0.0025133145973086357","94","0.004651209339499474","0.000003000000106112566","0.9990000128746032","0.003719595260918141","2"
"cnn6-3","finished","-","hudwahab","","2023-02-22T21:40:57.000Z","2913","","128","cnn6","3","0.9973999857902528","66","0.004077662713825703","91","0.007841769605875015","3.000000106112566e-7","0.9990000128746032","0.004397055599838495","2"
"cnn6-2","finished","-","hudwahab","","2023-02-22T20:40:20.000Z","3635","","128","cnn6","2","0.9987999796867372","90","0.002417134353891015","115","0.0034785184543579817","0.000003000000106112566","0.9991999864578248","0.003906812518835068","3"
"cnn6-1","finished","-","hudwahab","","2023-02-22T19:40:46.000Z","3572","","128","cnn6","1","0.9965999722480774","96","0.002919297432526946","112","0.00905182957649231","3.000000106112566e-7","0.9986000061035156","0.003173771779984236","2"
"cnn6-0","finished","-","hudwahab","","2023-02-22T18:46:10.000Z","3274","","128","cnn6","0","0.9982799887657166","78","0.0024425056762993336","103","0.005473654251545668","3.000000106112566e-7","0.9987999796867372","0.0034470013342797756","2"
"cnn3-4","finished","-","hudwahab","","2023-02-22T18:33:33.000Z","755","","128","cnn3","4","0.999559998512268","56","0.010891019366681576","63","0.0014157212572172284","3.000000106112566e-7","0.9962000250816344","0.010967212729156016","21"
"cnn3-3","finished","-","hudwahab","","2023-02-22T18:19:58.000Z","814","","128","cnn3","3","0.9999600052833556","43","0.00542839989066124","68","0.00037812290247529745","3.000000106112566e-7","0.9986000061035156","0.005583754740655422","5"
"cnn3-2","finished","-","hudwahab","","2023-02-22T18:04:25.000Z","931","","128","cnn3","2","0.9994000196456908","52","0.013061300851404669","76","0.0015374639770016074","3.000000106112566e-7","0.996399998664856","0.016048841178417206","15"
"cnn3-1","finished","-","hudwahab","","2023-02-22T17:47:51.000Z","992","","128","cnn3","1","0.9999200105667114","61","0.00723625160753727","86","0.0002820129448082298","3.000000106112566e-7","0.9973999857902528","0.008750798180699348","9"
"cnn3-0","finished","-","hudwahab","","2023-02-22T17:33:18.000Z","871","","128","cnn3","0","0.9998000264167786","50","0.009560741484165192","75","0.0005011852481402457","3.000000106112566e-7","0.9972000122070312","0.01013103872537613","9"
"cnn2-4","finished","-","hudwahab","","2023-02-22T17:23:42.000Z","574","","128","cnn2","4","0.9988399744033812","47","0.013189929537475107","72","0.002471976215019822","3.000000106112566e-7","0.9954000115394592","0.014424608089029787","9"
"cnn2-3","finished","-","hudwahab","","2023-02-22T17:16:07.000Z","453","","128","cnn2","3","0.9986000061035156","34","0.012496399693191051","59","0.0037686361465603113","3.000000106112566e-7","0.9947999715805054","0.013865931890904903","11"
"cnn2-2","finished","-","hudwahab","","2023-02-22T17:05:34.000Z","631","","128","cnn2","2","0.9989200234413148","54","0.01290125586092472","79","0.00309774954803288","3.000000248221113e-8","0.995199978351593","0.01368036214262247","9"
"cnn2-1","finished","-","hudwahab","","2023-02-22T16:49:28.000Z","964","","128","cnn2","1","0.9988399744033812","37","0.011512462049722672","62","0.0035688281059265137","3.000000106112566e-7","0.9950000047683716","0.01352862734347582","9"
